"Statistic","Year","Area of Origin","UNIT","VALUE"
"Materials for Production (Other Than Agriculture)","1947","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1947","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1948","All Countries","Euro Thousand","97776"
"Materials for Production (Other Than Agriculture)","1948","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1948","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1948","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1949","All Countries","Euro Thousand","93890"
"Materials for Production (Other Than Agriculture)","1949","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1949","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1949","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1950","All Countries","Euro Thousand","121734"
"Materials for Production (Other Than Agriculture)","1950","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1950","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1950","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1951","All Countries","Euro Thousand","155252"
"Materials for Production (Other Than Agriculture)","1951","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1951","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1951","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1952","All Countries","Euro Thousand","126907"
"Materials for Production (Other Than Agriculture)","1952","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1952","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1952","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1953","All Countries","Euro Thousand","131634"
"Materials for Production (Other Than Agriculture)","1953","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1953","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1953","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1954","All Countries","Euro Thousand","126672"
"Materials for Production (Other Than Agriculture)","1954","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1954","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1954","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1955","All Countries","Euro Thousand","150531"
"Materials for Production (Other Than Agriculture)","1955","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1955","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1955","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1956","All Countries","Euro Thousand","130127"
"Materials for Production (Other Than Agriculture)","1956","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1956","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1956","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1957","All Countries","Euro Thousand","131062"
"Materials for Production (Other Than Agriculture)","1957","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1957","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1957","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1958","All Countries","Euro Thousand","139217"
"Materials for Production (Other Than Agriculture)","1958","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1958","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1958","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1959","All Countries","Euro Thousand","153276"
"Materials for Production (Other Than Agriculture)","1959","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1959","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1959","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1960","All Countries","Euro Thousand","166388"
"Materials for Production (Other Than Agriculture)","1960","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1960","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1960","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1961","All Countries","Euro Thousand","186201"
"Materials for Production (Other Than Agriculture)","1961","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1961","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1961","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1962","All Countries","Euro Thousand","190289"
"Materials for Production (Other Than Agriculture)","1962","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1962","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1962","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1963","All Countries","Euro Thousand","208749"
"Materials for Production (Other Than Agriculture)","1963","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1963","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1963","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1964","All Countries","Euro Thousand","248172"
"Materials for Production (Other Than Agriculture)","1964","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1964","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1964","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1965","All Countries","Euro Thousand","256256"
"Materials for Production (Other Than Agriculture)","1965","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1965","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1965","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1966","All Countries","Euro Thousand","258952"
"Materials for Production (Other Than Agriculture)","1966","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1966","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1966","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1967","All Countries","Euro Thousand","276115"
"Materials for Production (Other Than Agriculture)","1967","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1967","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1967","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1968","All Countries","Euro Thousand","372716"
"Materials for Production (Other Than Agriculture)","1968","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1968","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1968","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1969","All Countries","Euro Thousand","426302"
"Materials for Production (Other Than Agriculture)","1969","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1969","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1969","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1970","All Countries","Euro Thousand","468730"
"Materials for Production (Other Than Agriculture)","1970","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1970","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1970","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1971","All Countries","Euro Thousand","511503"
"Materials for Production (Other Than Agriculture)","1971","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1971","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1971","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1972","All Countries","Euro Thousand","567357"
"Materials for Production (Other Than Agriculture)","1972","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1972","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1972","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1973","All Countries","Euro Thousand","785430"
"Materials for Production (Other Than Agriculture)","1973","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1973","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1973","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1974","All Countries","Euro Thousand","1211169"
"Materials for Production (Other Than Agriculture)","1974","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1974","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1974","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1975","All Countries","Euro Thousand","1311601"
"Materials for Production (Other Than Agriculture)","1975","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1975","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1975","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1976","All Countries","Euro Thousand","1791684"
"Materials for Production (Other Than Agriculture)","1976","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1976","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1976","Great Britain and Northern Ireland","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1977","All Countries","Euro Thousand","2320827"
"Materials for Production (Other Than Agriculture)","1977","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1977","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","437298"
"Materials for Production (Other Than Agriculture)","1977","Great Britain and Northern Ireland","Euro Thousand","1025821"
"Materials for Production (Other Than Agriculture)","1978","All Countries","Euro Thousand","2655276"
"Materials for Production (Other Than Agriculture)","1978","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1978","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","520593"
"Materials for Production (Other Than Agriculture)","1978","Great Britain and Northern Ireland","Euro Thousand","1213616"
"Materials for Production (Other Than Agriculture)","1979","All Countries","Euro Thousand","3397184"
"Materials for Production (Other Than Agriculture)","1979","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1979","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","681722"
"Materials for Production (Other Than Agriculture)","1979","Great Britain and Northern Ireland","Euro Thousand","1636565"
"Materials for Production (Other Than Agriculture)","1980","All Countries","Euro Thousand","3888954"
"Materials for Production (Other Than Agriculture)","1980","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1980","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","753381"
"Materials for Production (Other Than Agriculture)","1980","Great Britain and Northern Ireland","Euro Thousand","1844802"
"Materials for Production (Other Than Agriculture)","1981","All Countries","Euro Thousand","4565851"
"Materials for Production (Other Than Agriculture)","1981","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1981","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","966779"
"Materials for Production (Other Than Agriculture)","1981","Great Britain and Northern Ireland","Euro Thousand","2223565"
"Materials for Production (Other Than Agriculture)","1982","All Countries","Euro Thousand","4754534"
"Materials for Production (Other Than Agriculture)","1982","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1982","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","1019854"
"Materials for Production (Other Than Agriculture)","1982","Great Britain and Northern Ireland","Euro Thousand","2202361"
"Materials for Production (Other Than Agriculture)","1983","All Countries","Euro Thousand","5283380"
"Materials for Production (Other Than Agriculture)","1983","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1983","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","1111021"
"Materials for Production (Other Than Agriculture)","1983","Great Britain and Northern Ireland","Euro Thousand","2297083"
"Materials for Production (Other Than Agriculture)","1984","All Countries","Euro Thousand","6722120"
"Materials for Production (Other Than Agriculture)","1984","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1984","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","1388205"
"Materials for Production (Other Than Agriculture)","1984","Great Britain and Northern Ireland","Euro Thousand","2708478"
"Materials for Production (Other Than Agriculture)","1985","All Countries","Euro Thousand","6983792"
"Materials for Production (Other Than Agriculture)","1985","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1985","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","1534188"
"Materials for Production (Other Than Agriculture)","1985","Great Britain and Northern Ireland","Euro Thousand","2818007"
"Materials for Production (Other Than Agriculture)","1986","All Countries","Euro Thousand","6074998"
"Materials for Production (Other Than Agriculture)","1986","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1986","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","1526587"
"Materials for Production (Other Than Agriculture)","1986","Great Britain and Northern Ireland","Euro Thousand","2360361"
"Materials for Production (Other Than Agriculture)","1987","All Countries","Euro Thousand","6530692"
"Materials for Production (Other Than Agriculture)","1987","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1987","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","1564796"
"Materials for Production (Other Than Agriculture)","1987","Great Britain and Northern Ireland","Euro Thousand","2551955"
"Materials for Production (Other Than Agriculture)","1988","All Countries","Euro Thousand","7215356"
"Materials for Production (Other Than Agriculture)","1988","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1988","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","1733333"
"Materials for Production (Other Than Agriculture)","1988","Great Britain and Northern Ireland","Euro Thousand","2849575"
"Materials for Production (Other Than Agriculture)","1989","All Countries","Euro Thousand","8713110"
"Materials for Production (Other Than Agriculture)","1989","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1989","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","2040978"
"Materials for Production (Other Than Agriculture)","1989","Great Britain and Northern Ireland","Euro Thousand","3419240"
"Materials for Production (Other Than Agriculture)","1990","All Countries","Euro Thousand","8747235"
"Materials for Production (Other Than Agriculture)","1990","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1990","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","2074049"
"Materials for Production (Other Than Agriculture)","1990","Great Britain and Northern Ireland","Euro Thousand","3525993"
"Materials for Production (Other Than Agriculture)","1991","All Countries","Euro Thousand","9068629"
"Materials for Production (Other Than Agriculture)","1991","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1991","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","2228202"
"Materials for Production (Other Than Agriculture)","1991","Great Britain and Northern Ireland","Euro Thousand","3388992"
"Materials for Production (Other Than Agriculture)","1992","All Countries","Euro Thousand","9544890"
"Materials for Production (Other Than Agriculture)","1992","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1992","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","2399907"
"Materials for Production (Other Than Agriculture)","1992","Great Britain and Northern Ireland","Euro Thousand","3601594"
"Materials for Production (Other Than Agriculture)","1993","All Countries","Euro Thousand","10729287"
"Materials for Production (Other Than Agriculture)","1993","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1993","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","2167570"
"Materials for Production (Other Than Agriculture)","1993","Great Britain and Northern Ireland","Euro Thousand","3230849"
"Materials for Production (Other Than Agriculture)","1994","All Countries","Euro Thousand","12669700"
"Materials for Production (Other Than Agriculture)","1994","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1994","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","2386219"
"Materials for Production (Other Than Agriculture)","1994","Great Britain and Northern Ireland","Euro Thousand","3985835"
"Materials for Production (Other Than Agriculture)","1995","All Countries","Euro Thousand","15906263"
"Materials for Production (Other Than Agriculture)","1995","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1995","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","3376741"
"Materials for Production (Other Than Agriculture)","1995","Great Britain and Northern Ireland","Euro Thousand","4826020"
"Materials for Production (Other Than Agriculture)","1996","All Countries","Euro Thousand","16989476"
"Materials for Production (Other Than Agriculture)","1996","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1996","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","3628404"
"Materials for Production (Other Than Agriculture)","1996","Great Britain and Northern Ireland","Euro Thousand","5048352"
"Materials for Production (Other Than Agriculture)","1997","All Countries","Euro Thousand","19723222"
"Materials for Production (Other Than Agriculture)","1997","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1997","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","4147092"
"Materials for Production (Other Than Agriculture)","1997","Great Britain and Northern Ireland","Euro Thousand","5834700"
"Materials for Production (Other Than Agriculture)","1998","All Countries","Euro Thousand","23641507"
"Materials for Production (Other Than Agriculture)","1998","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1998","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","4446496"
"Materials for Production (Other Than Agriculture)","1998","Great Britain and Northern Ireland","Euro Thousand","7190146"
"Materials for Production (Other Than Agriculture)","1999","All Countries","Euro Thousand","25487833"
"Materials for Production (Other Than Agriculture)","1999","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","1999","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","5178246"
"Materials for Production (Other Than Agriculture)","1999","Great Britain and Northern Ireland","Euro Thousand","7694486"
"Materials for Production (Other Than Agriculture)","2000","All Countries","Euro Thousand","33168200"
"Materials for Production (Other Than Agriculture)","2000","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","2000","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","7224500"
"Materials for Production (Other Than Agriculture)","2000","Great Britain and Northern Ireland","Euro Thousand","9798200"
"Materials for Production (Other Than Agriculture)","2001","All Countries","Euro Thousand","34346100"
"Materials for Production (Other Than Agriculture)","2001","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","2001","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","7010300"
"Materials for Production (Other Than Agriculture)","2001","Great Britain and Northern Ireland","Euro Thousand","12762100"
"Materials for Production (Other Than Agriculture)","2002","All Countries","Euro Thousand","32843600"
"Materials for Production (Other Than Agriculture)","2002","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","2002","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","6440900"
"Materials for Production (Other Than Agriculture)","2002","Great Britain and Northern Ireland","Euro Thousand","12621900"
"Materials for Production (Other Than Agriculture)","2003","All Countries","Euro Thousand","26589100"
"Materials for Production (Other Than Agriculture)","2003","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","2003","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","6044400"
"Materials for Production (Other Than Agriculture)","2003","Great Britain and Northern Ireland","Euro Thousand","7271100"
"Materials for Production (Other Than Agriculture)","2004","All Countries","Euro Thousand","28048200"
"Materials for Production (Other Than Agriculture)","2004","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","2004","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","6936200"
"Materials for Production (Other Than Agriculture)","2004","Great Britain and Northern Ireland","Euro Thousand","7923400"
"Materials for Production (Other Than Agriculture)","2005","All Countries","Euro Thousand","30996500"
"Materials for Production (Other Than Agriculture)","2005","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","2005","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","7861700"
"Materials for Production (Other Than Agriculture)","2005","Great Britain and Northern Ireland","Euro Thousand","9228200"
"Materials for Production (Other Than Agriculture)","2006","All Countries","Euro Thousand","33882700"
"Materials for Production (Other Than Agriculture)","2006","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","2006","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","9116800"
"Materials for Production (Other Than Agriculture)","2006","Great Britain and Northern Ireland","Euro Thousand","9661400"
"Materials for Production (Other Than Agriculture)","2007","All Countries","Euro Thousand","33536400"
"Materials for Production (Other Than Agriculture)","2007","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","2007","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","9380200"
"Materials for Production (Other Than Agriculture)","2007","Great Britain and Northern Ireland","Euro Thousand","10248100"
"Materials for Production (Other Than Agriculture)","2008","All Countries","Euro Thousand","30218600"
"Materials for Production (Other Than Agriculture)","2008","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","2008","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","9137500"
"Materials for Production (Other Than Agriculture)","2008","Great Britain and Northern Ireland","Euro Thousand","9171600"
"Materials for Production (Other Than Agriculture)","2009","All Countries","Euro Thousand","21773100"
"Materials for Production (Other Than Agriculture)","2009","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","2009","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","6904700"
"Materials for Production (Other Than Agriculture)","2009","Great Britain and Northern Ireland","Euro Thousand","5863800"
"Materials for Production (Other Than Agriculture)","2010","All Countries","Euro Thousand","22108900"
"Materials for Production (Other Than Agriculture)","2010","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","2010","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","6597800"
"Materials for Production (Other Than Agriculture)","2010","Great Britain and Northern Ireland","Euro Thousand","6491400"
"Materials for Production (Other Than Agriculture)","2011","All Countries","Euro Thousand","23367800"
"Materials for Production (Other Than Agriculture)","2011","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","2011","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","6613300"
"Materials for Production (Other Than Agriculture)","2011","Great Britain and Northern Ireland","Euro Thousand","7940000"
"Materials for Production (Other Than Agriculture)","2012","All Countries","Euro Thousand","23721900"
"Materials for Production (Other Than Agriculture)","2012","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","2012","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","6256300"
"Materials for Production (Other Than Agriculture)","2012","Great Britain and Northern Ireland","Euro Thousand","7321900"
"Materials for Production (Other Than Agriculture)","2013","All Countries","Euro Thousand","24504200"
"Materials for Production (Other Than Agriculture)","2013","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","2013","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","7032000"
"Materials for Production (Other Than Agriculture)","2013","Great Britain and Northern Ireland","Euro Thousand","7436400"
"Materials for Production (Other Than Agriculture)","2014","All Countries","Euro Thousand","26307800"
"Materials for Production (Other Than Agriculture)","2014","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","2014","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","7189900"
"Materials for Production (Other Than Agriculture)","2014","Great Britain and Northern Ireland","Euro Thousand","7712700"
"Materials for Production (Other Than Agriculture)","2015","All Countries","Euro Thousand","28999700"
"Materials for Production (Other Than Agriculture)","2015","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","2015","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","7896500"
"Materials for Production (Other Than Agriculture)","2015","Great Britain and Northern Ireland","Euro Thousand","7505200"
"Materials for Production (Other Than Agriculture)","2016","All Countries","Euro Thousand","29441600"
"Materials for Production (Other Than Agriculture)","2016","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","2016","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","8372900"
"Materials for Production (Other Than Agriculture)","2016","Great Britain and Northern Ireland","Euro Thousand","6770400"
"Materials for Production (Other Than Agriculture)","2017","All Countries","Euro Thousand","32529201"
"Materials for Production (Other Than Agriculture)","2017","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","2017","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","8646646"
"Materials for Production (Other Than Agriculture)","2017","Great Britain and Northern Ireland","Euro Thousand","8085172"
"Materials for Production (Other Than Agriculture)","2018","All Countries","Euro Thousand","34148265"
"Materials for Production (Other Than Agriculture)","2018","European Union - 27 countries (from 2020)","Euro Thousand",""
"Materials for Production (Other Than Agriculture)","2018","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","10164045"
"Materials for Production (Other Than Agriculture)","2018","Great Britain and Northern Ireland","Euro Thousand","8419328"
"Materials for Production (Other Than Agriculture)","2019","All Countries","Euro Thousand","37566337"
"Materials for Production (Other Than Agriculture)","2019","European Union - 27 countries (from 2020)","Euro Thousand","."
"Materials for Production (Other Than Agriculture)","2019","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","10902181"
"Materials for Production (Other Than Agriculture)","2019","Great Britain and Northern Ireland","Euro Thousand","9001087"
